client_public,role,time
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752862
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753102
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1791963
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773768
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774076
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1779259
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777718
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776918
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1778418
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1784876
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774843
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1804250
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1770323
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750872
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749990
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753514
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752240
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749191
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775348
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774664
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774774
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1781508
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750593
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1796431
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1794788
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1768266
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1747643
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775232
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1754655
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750712
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1755382
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753036
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1746910
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753899
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1781189
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1760428
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1763162
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1791067
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1768730
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777020
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773954
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773938
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748718
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749026
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1778761
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1754823
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751270
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1755687
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751495
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751273
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776611
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1770203
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775030
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777995
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1781990
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752737
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1790631
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774266
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1746708
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748523
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1742056
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751491
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753772
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753299
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1768271
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1765672
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1778059
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751527
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1760436
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777737
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783100
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1759187
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774378
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773647
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1769032
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750394
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1745558
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748674
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1756962
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752740
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1754577
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748339
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773941
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774590
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775701
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775277
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777357
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750073
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1784055
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1801481
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783086
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1766614
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753231
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751724
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1747579
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750347
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750588
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1760364
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1795864
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773687
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776567
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1778049
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783549
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783091
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1779745
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1765527
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1769417
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783812
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750827
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749310
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750370
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751397
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751614
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751738
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1761318
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1768667
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774482
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783220
